Symbol	Description
A	Agilent Technologies Inc.
AA	Alcoa Inc.
AAN	Aaron's  Inc.
AAP	Advance Auto Parts Inc
AAR	AMR Corporation
AAT	American Assets Trust Inc.
AAV	Advantage Oil & Gas Ltd
AB	Alliance Capital Management Holding L.P.
ABB	ABB Ltd
ABC	AmerisourceBergen Corporation (Holding Co)
ABD	Acco Brands Corporation
ABG	Asbury Automotive Group Inc
ABH	AbitibiBowater Inc.
ABM	ABM Industries Incorporated
ABR	Arbor Realty Trust
ABT	Abbott Laboratories
ABV	Companhia de Bebidas das Americas - AmBev
ABV.C	Companhia de Bebidas das Americas - AmBev
ABVT	Abovenet Inc
ABW-A	Associated Banc-Corp
ABX	Barrick Gold Corporation
ACC	American Campus Communities Inc
ACE	Ace Limited
ACG	ALLIANCEBERNSTEIN INCOME FUND INC
ACH	Aluminum Corporation of China Ltd
ACI	Arch Coal Inc.
ACM	Aecom Technology Corporation
ACN	Accenture plc.
ACO	Amcol International Corporation
ACP	Avenue Income Credit Strategies Fund
ACTV	Active Control Techn
ACW	Accuride Corporation New
ADC	Agree Realty Corporation
ADI	Analog Devices Inc.
ADM	Archer-Daniels-Midland Company
ADS	Alliance Data Systems Corporation
ADX	Adams Express Company (The)
ADY	Feihe International Inc.
AEA	Advance America Cash Advance Centers Inc.
AEB	Aegon NV
AEC	Associated Estates Realty Corporation
AED	Aegon NV
AEE	Ameren Corporation
AEF	Aegon NV
AEG	Aegon NV
AEH	Aegon NV
AEL	American Equity Investment Life Holding Company
AEM	Agnico-Eagle Mines Limited
AEO	American Eagle Outfitters Inc.
AEP	American Electric Power Company Inc.
AEP-A	American Electric Power Company Inc.
AER	Aercap Holdings N.V.
AES	The AES Corporation
AES-C	The AES Corporation
AET	Aetna Inc.
AEV	Aegon NV
AF	Astoria Financial Corporation
AFB	Alliance National Municipal Income Fund Inc
AFC	Allied Capital Corporation
AFE	American Financial Group Inc.
AFF	American International Group Inc.
AFG	American Financial Group Inc.
AFL	Aflac Incorporated
AFQ	American Financial Group Inc.
AFT	Apollo Senior Floating Rate Fund Inc.
AG	First Majestic Silver Corp.
AGC	Advent Claymore Convertible Securities and Income Fund
AGCO	AGCO Corporation
AGD	Alpine Global Dynamic Dividend Fund
AGL	AGL Resources Inc.
AGM	Federal Agricultural Mortgage Corporation
AGM.A	Federal Agricultural Mortgage Corporation
AGN	Allergan Inc.
AGO	Assured Guaranty Ltd
AGO-B	Assured Guaranty Ltd
AGO-E	Assured Guaranty Ltd
AGO-F	Assured Guaranty Ltd
AGP	AMERIGROUP Corporation
AGRO	Adecoagro S.A.
AGU	Agrium Inc.
AH	Accretive Health Inc.
AHC	A.H. Belo Corporation
AHL	Aspen Insurance Holdings Limited
AHL-A	Aspen Insurance Holdings Limited
AHL.P	Aspen Insurance Holdings Limited
AHS	AMN Healthcare Services Inc
AHT	Ashford Hospitality Trust Inc
AHT-A	Ashford Hospitality Trust Inc
AHT-D	Ashford Hospitality Trust Inc
AHT-E	Ashford Hospitality Trust Inc
AI	Arlington Asset Investment Corp
AIB	Allied Irish Banks p.l.c.
AIG	American International Group Inc.
AIG-A	American International Group Inc.
AIG.W	American International Group Inc.
AIN	Albany International Corporation
AIQ	Alliance HealthCare Services Inc.
AIR	AAR Corp.
AIT	Applied Industrial Technologies Inc.
AIV	Apartment Investment and Management Company
AIV-T	Apartment Investment and Management Company
AIV-U	Apartment Investment and Management Company
AIV-V	Apartment Investment and Management Company
AIV-Y	Apartment Investment and Management Company
AIZ	Assurant Inc.
AJG	Arthur J. Gallagher & Co.
AKO.A	Embotelladora Andina S.A.
AKO.B	Embotelladora Andina S.A.
AKP	Alliance California Municipal Income Fund Inc
AKR	Acadia Realty Trust
AKS	AK Steel Holding Corporation
AL	Air Lease Corporation
ALB	Albemarle Corporation
ALC	Assisted Living Concepts Inc. New
ALE	Allete Inc.
ALEX	Alexander & Baldwin Inc.
ALG	Alamo Group Inc.
ALJ	Alon USA Energy Inc.
ALK	Alaska Air Group Inc.
ALL	Allstate Corporation (The)
ALM	Alabama Power Company
ALP-N	Alabama Power Company
ALP-O	Alabama Power Company
ALP-P	Alabama Power Company
ALR	Alere Inc.
ALR-B	Alere Inc.
ALU	Alcatel Lucent
ALV	Autoliv Inc.
ALV-Z	Autoliv Inc.
ALX	Alexander's Inc.
AM	American Greetings Corporation
AMBO	Ambow Education Holding Ltd.
AMD	Advanced Micro Devices Inc.
AME	AMTEK Inc.
AMG	Affiliated Managers Group Inc.
AMN	Ameron International Corporation
AMP	AMERIPRISE FINANCIAL SERVICES INC.
AMP-A	AMERIPRISE FINANCIAL SERVICES INC.
AMR	AMR Corporation
AMRC	Ameresco Inc
AMT	American Tower Corporation
AMX	America Movil S.A.B. de C.V.
AN	AutoNation Inc.
ANF	Abercrombie & Fitch Company
ANH	Anworth Mortgage Asset  Corporation
ANH-A	Anworth Mortgage Asset  Corporation
ANH-B	Anworth Mortgage Asset  Corporation
ANN	ANN INC.
ANR	Alpha Natural Resources inc.
ANW	Aegean Marine Petroleum Network Inc.
AOB	American Oriental Bioengineering Inc.
AOD	Alpine Total Dynamic Dividend Fund
AOI	Alliance One International Inc.
AOL	AOL Inc.
AON	Aon Corporation
AOS	Smith (A.O.) Corporation
AP	Ampco-Pittsburgh Corporation
APA	Apache Corporation
APA-D	Apache Corporation
APB	Asia Pacific Fund Inc. (The)
APC	Anadarko Petroleum Corporation
APD	Air Products and Chemicals Inc.
APF	Morgan Stanley Asia-Pacific Fund Inc.
APH	Amphenol Corporation
APL	Atlas Pipeline Partners L.P.
APO	Apollo Global Management LLC
APU	AmeriGas Partners L.P.
ARB	Arbitron Inc.
ARC	American Reprographics Company
ARCO	Arcos Dorados Holdings Inc.
ARE	Alexandria Real Estate Equities Inc.
ARE-C	Alexandria Real Estate Equities Inc.
ARG	Airgas Inc.
ARH-A	Arch Capital Group Ltd.
ARH-B	Arch Capital Group Ltd.
ARI	Apollo Commercial Real Estate Finance
ARJ	Arch Chemicals Inc.
ARK	Senior High Income Portfolio Inc.
ARL	American Realty Investors Inc.
ARO	Aeropostale Inc
ARR	Armour Residential R
ART	ARTIO GLOBAL INVESTORS INC.
ARW	Arrow Electronics Inc.
ARX	Aeroflex Holding Corp.
ARY	Ares Capital Corporation
ASA	ASA Gold and Precious Metals Limited
ASG	Liberty All-Star Growth Fund Inc.
ASH	Ashland Inc.
ASI	American Safety Insurance Holdings Ltd.
ASP	American Strategic Income Portfolio
ASR	Grupo Aeroportuario del Sureste S.A. de C.V.
ASX	Advanced Semiconductor Engineering Inc.
AT	Atlantic Power Corporation
ATE	Advantest Corporation (Kabushiki Kaisha Advantest) ADS
ATI	Allegheny Technologies Incorporated
ATK	Alliant Techsystems Inc.
ATLS	Atlas Energy L.P.
ATO	Atmos Energy Corporation
ATR	AptarGroup Inc.
ATT	AT&T Inc.
ATU	Actuant Corporation
ATV	Acorn International Inc.
ATW	Atwood Oceanics Inc.
AU	AngloGold Ashanti Ltd.
AU-A	AngloGold Ashanti Ltd.
AUO	AU Optronics Corp
AUQ	Aurioo Gold Inc
AUY	Yamana Gold Inc.
AV	Aviva plc
AVA	Avista Corporation
AVB	AvalonBay Communities Inc.
AVD	American Vanguard Corporation
AVF	American International Group Inc.
AVK	Advent Claymore Convertible Securities and Income Fund
AVP	Avon Products Inc.
AVT	Avnet Inc.
AVX	AVX Corporation
AVY	Avery Dennison Corporation
AWC	Alumina Ltd
AWF	Alliance World Dollar Government Fund II
AWH	Allied World Assurance Company Holdings AG
AWI	Armstrong World Industries Inc
AWK	American Water Works
AWP	Alpine Global Premier Properties Fund
AWR	American States Water Company
AXE	Anixter International Inc.
AXL	American Axle & Manufacturing Holdings Inc.
AXP	American Express Company
AXR	AMREP Corporation
AXS	Axis Capital Holdings Limited
AXS-A	Axis Capital Holdings Limited
AYI	Acuity Brands Inc
AYN	Alliance New York Municipal Income Fund Inc
AYR	Aircastle Limited
AZN	Astrazeneca PLC
AZO	AutoZone Inc.
AZZ	AZZ Incorporated
B	Barnes Group Inc.
BA	Boeing Company (The)
BAC	Bank of America Corporation
BAC-B	Bank of America Corporation
BAC-C	Bank of America Corporation
BAC-D	Bank of America Corporation
BAC-E	Bank of America Corporation
BAC-H	Bank of America Corporation
BAC-I	Bank of America Corporation
BAC-J	Bank of America Corporation
BAC-L	Bank of America Corporation
BAC-U	Bank of America Corporation
BAC-V	Bank of America Corporation
BAC-W	Bank of America Corporation
BAC-X	Bank of America Corporation
BAC-Y	Bank of America Corporation
BAC-Z	Bank of America Corporation
BAC.A	Bank of America Corporation
BAC.B	Bank of America Corporation
BAF	BlackRock Income Investment Quality Trust
BAH	Booz Allen Hamilton Holding Corporation
BAK	Copene-Petroquimica do Nordeste
BALT	Baltic Trading Limited
BAM	Brookfield Asset Management Inc
BAP	Credicorp Ltd.
BAS	Basic Energy Services Inc.
BAX	Baxter International Inc.
BBD	Banco Bradesco Sa
BBF	BlackRock Municipal Income Investment Trust
BBG	Bill Barrett Corporation
BBK	Blackrock Municipal Bond Trust
BBL	BHP Billiton plc
BBN	BalckRock Build America Bond Trust
BBT	BB&T Corporation
BBT-A	BB&T Corporation
BBT-B	BB&T Corporation
BBT-C	BB&T Corporation
BBVA	Banco Bilbao Viscaya Argentaria S.A.
BBW	Build-A-Bear Workshop Inc.
BBX	BankAtlantic Bancorp Inc.
BBY	Best Buy Co. Inc.
BC	Brunswick Corporation
BCA	Corpbanca
BCE	BCE Inc.
BCF	Blackrock Real Asset Equity Trust
